game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
134749	3/18/10	704	UTEP	35288:00:00	24	57	4	18	7	9	59	6	24	30	15	14	8	1	24	87	Butler	35288:00:00	23	50	13	31	18	28	77	8	24	32	14	10	6	1	13	1
135357	3/18/10	523	Old Dominion	35288:00:00	20	48	3	13	8	12	51	9	22	31	11	8	7	2	9	513	Notre Dame	35288:00:00	21	59	6	26	2	3	50	16	22	38	12	10	6	2	14	1
135370	3/18/10	610	St. Mary's (CA)	35288:00:00	26	53	8	19	20	28	80	19	21	40	11	13	5	3	15	575	Richmond	35288:00:00	25	53	10	21	11	13	71	4	13	17	10	9	6	2	23	1
140503	3/18/10	579	Robert Morris	35313:00:00	22	55	5	20	21	26	70	11	24	35	8	21	10	2	31	739	Villanova	35313:00:00	18	51	6	22	31	40	73	11	18	29	9	16	13	10	19	1
136732	3/18/10	756	Washington	35288:00:00	30	55	9	14	11	16	80	7	21	28	21	12	4	6	15	387	Marquette	35288:00:00	27	51	12	19	12	15	78	5	17	22	16	13	8	1	17	1
136730	3/18/10	626	San Diego St.	35288:00:00	20	52	3	18	16	21	59	11	22	33	10	10	3	6	16	694	Tennessee	35288:00:00	20	52	8	17	14	18	62	13	19	32	10	11	3	3	19	1
136731	3/18/10	519	Ohio	35288:00:00	32	55	13	23	20	26	97	8	18	26	15	12	6	3	18	251	Georgetown	35288:00:00	31	61	8	22	13	19	83	14	17	31	14	18	5	5	21	1
134992	3/18/10	504	UNI	35288:00:00	20	45	9	19	20	23	69	13	22	35	11	16	7	2	16	465	UNLV	35288:00:00	25	58	9	22	7	12	66	15	13	28	12	8	9	2	20	1
135463	3/18/10	352	Lehigh	35288:00:00	25	62	7	19	17	21	74	13	20	33	11	13	6	4	16	328	Kansas	35288:00:00	38	69	9	21	5	10	90	14	27	41	17	14	10	11	18	1
135462	3/18/10	454	Murray St.	35288:00:00	25	60	7	15	9	17	66	15	24	39	13	11	4	4	21	736	Vanderbilt	35288:00:00	22	50	4	12	17	29	65	10	23	33	15	10	4	4	17	1
135460	3/18/10	624	Sam Houston St.	35288:00:00	23	68	6	31	7	13	59	8	29	37	20	11	7	1	20	51	Baylor	35288:00:00	26	59	5	20	11	17	68	8	39	47	18	14	8	2	18	1
134750	3/18/10	441	Montana	35288:00:00	22	54	6	21	7	12	57	11	26	37	17	12	5	2	21	473	New Mexico	35288:00:00	22	53	5	20	13	23	62	10	21	31	14	6	8	3	14	1
135367	3/18/10	749	Wake Forest	35313:00:00	30	70	6	18	15	24	81	20	39	59	15	20	2	4	24	703	Texas	35313:00:00	26	69	8	24	20	33	80	10	24	34	11	5	11	4	20	1
134987	3/18/10	235	Florida	35338:00:00	34	78	10	32	14	19	92	20	25	45	15	21	7	4	24	77	BYU	35338:00:00	32	65	10	23	25	32	99	10	23	33	11	12	12	2	17	1
134988	3/18/10	497	North Texas	35288:00:00	17	55	5	19	23	31	62	19	17	36	8	16	2	0	17	327	Kansas St.	35288:00:00	31	61	7	18	13	20	82	17	23	40	12	11	9	10	25	1
136729	3/18/10	198	East Tenn. St.	35288:00:00	23	64	4	17	21	37	71	15	25	40	11	14	11	1	23	334	Kentucky	35288:00:00	31	60	15	33	23	34	100	11	33	44	27	14	8	11	24	1
138460	3/19/10	2678	Ark.-Pine Bluff	35288:00:00	17	53	4	19	6	7	44	9	15	24	8	16	7	4	19	193	Duke	35288:00:00	24	47	6	13	19	28	73	13	28	41	12	14	5	4	12	1
138467	3/19/10	428	Minnesota	35288:00:00	19	62	7	26	9	14	54	16	25	41	14	8	2	11	18	812	Xavier	35288:00:00	23	67	7	20	12	19	65	20	30	50	15	6	6	3	16	1
138481	3/19/10	472	New Mexico St.	35288:00:00	23	57	8	21	13	22	67	15	25	40	8	11	7	3	23	416	Michigan St.	35288:00:00	20	53	7	19	23	33	70	14	26	40	16	9	5	4	22	1
136733	3/19/10	288	Houston	35288:00:00	25	60	7	20	20	32	77	9	20	29	7	6	6	1	19	392	Maryland	35288:00:00	32	68	4	17	21	25	89	17	33	50	18	10	2	4	20	1
136736	3/19/10	639	Siena	35288:00:00	23	70	3	12	15	18	64	15	30	45	9	14	7	1	16	559	Purdue	35288:00:00	27	59	5	17	13	19	72	6	32	38	21	14	8	7	14	1
136737	3/19/10	446	Morgan St.	35288:00:00	18	61	3	19	11	20	50	13	25	38	3	12	6	7	22	768	West Virginia	35288:00:00	24	58	4	15	25	31	77	14	35	49	20	9	7	4	16	1
136735	3/19/10	434	Missouri	35288:00:00	30	58	5	17	21	29	86	9	21	30	21	9	15	3	16	147	Clemson	35288:00:00	28	63	12	24	10	14	78	18	23	41	14	20	2	1	22	1
136747	3/19/10	255	Georgia Tech	35288:00:00	19	44	2	10	24	25	64	10	22	32	11	13	8	1	15	521	Oklahoma St.	35288:00:00	22	44	6	22	9	13	59	3	14	17	12	11	8	1	20	1
138454	3/19/10	738	Vermont	35288:00:00	23	66	5	22	5	10	56	16	13	29	13	9	8	1	11	688	Syracuse	35288:00:00	30	55	10	22	9	11	79	13	27	40	24	16	8	8	14	1
138453	3/19/10	107	California	35288:00:00	26	51	8	15	17	22	77	7	21	28	17	14	8	3	14	367	Louisville	35288:00:00	26	60	5	19	5	9	62	15	22	37	13	15	9	1	19	1
138479	3/19/10	514	Oakland	35288:00:00	19	57	4	21	24	32	66	11	21	32	8	17	8	1	25	545	Pittsburgh	35288:00:00	30	56	4	12	25	36	89	9	29	38	18	15	10	1	26	1
138476	3/19/10	104	UC Santa Barbara	35288:00:00	20	62	6	19	5	7	51	12	23	35	11	9	6	2	16	518	Ohio St.	35288:00:00	21	52	10	22	16	18	68	8	30	38	14	9	5	12	12	1
138474	3/19/10	167	Cornell	35288:00:00	27	48	9	23	15	19	78	10	20	30	10	11	7	2	12	690	Temple	35288:00:00	27	52	5	17	6	9	65	7	13	20	14	11	3	4	20	1
138473	3/19/10	731	Utah St.	35288:00:00	24	62	5	20	0	4	53	10	21	31	8	9	4	3	18	697	Texas A&M;	35288:00:00	25	51	8	18	11	14	69	7	32	39	12	11	4	1	13	1
138471	3/19/10	2915	Wofford	35288:00:00	20	48	3	7	6	13	49	11	26	37	7	11	1	2	15	796	Wisconsin	35288:00:00	20	54	1	9	12	19	53	10	20	30	3	4	7	0	14	1
138434	3/19/10	234	Florida St.	35288:00:00	21	59	6	20	12	20	60	11	21	32	15	8	7	4	22	260	Gonzaga	35288:00:00	21	42	3	10	22	30	67	6	32	38	11	15	5	5	19	1
138464	3/20/10	523	Old Dominion	35288:00:00	23	53	6	13	16	22	68	14	17	31	16	14	9	3	18	51	Baylor	35288:00:00	28	54	8	20	12	17	76	11	19	30	15	13	8	6	19	1
138468	3/20/10	454	Murray St.	35288:00:00	19	44	9	14	5	12	52	11	28	39	12	18	3	3	17	87	Butler	35288:00:00	18	50	7	20	11	19	54	7	15	22	10	6	6	1	14	1
138494	3/20/10	519	Ohio	35288:00:00	22	58	10	26	14	26	68	14	19	33	15	14	9	1	17	694	Tennessee	35288:00:00	34	60	5	14	10	18	83	11	30	41	21	16	8	3	22	1
138484	3/20/10	77	BYU	35288:00:00	21	53	5	16	25	28	72	9	20	29	12	13	7	2	24	327	Kansas St.	35288:00:00	23	56	11	27	27	30	84	15	24	39	14	15	7	3	20	1
138485	3/20/10	504	UNI	35288:00:00	22	55	9	26	16	19	69	11	19	30	11	9	9	1	16	328	Kansas	35288:00:00	24	54	6	23	13	18	67	14	24	38	9	15	5	3	19	1
138489	3/20/10	756	Washington	35288:00:00	32	66	8	17	10	20	82	12	28	40	21	5	6	7	18	473	New Mexico	35288:00:00	26	66	5	17	7	17	64	13	25	38	7	11	1	1	18	1
138500	3/20/10	749	Wake Forest	35288:00:00	21	64	2	15	16	26	60	19	15	34	12	11	6	3	17	334	Kentucky	35288:00:00	38	63	7	21	7	17	90	14	28	42	21	11	6	6	21	1
139827	3/20/10	610	St. Mary's (CA)	35288:00:00	24	48	7	19	20	26	75	6	27	33	6	12	2	3	12	739	Villanova	35288:00:00	25	69	7	19	11	11	68	15	17	32	9	7	5	2	18	1
140178	3/21/10	255	Georgia Tech	35288:00:00	24	58	4	20	14	19	66	12	21	33	14	21	12	0	24	518	Ohio St.	35288:00:00	25	51	8	21	17	23	75	7	22	29	17	18	8	3	17	1
140509	3/21/10	812	Xavier	35288:00:00	24	50	8	16	15	23	71	5	26	31	9	7	4	3	16	545	Pittsburgh	35288:00:00	25	64	7	21	11	18	68	15	25	40	12	9	4	4	18	1
139826	3/21/10	697	Texas A&M;	35313:00:00	23	65	5	17	10	17	61	14	31	45	14	14	8	3	13	559	Purdue	35313:00:00	26	63	6	17	5	6	63	5	34	39	11	12	12	6	18	1
139824	3/21/10	260	Gonzaga	35288:00:00	25	60	3	21	12	20	65	11	16	27	14	11	8	3	18	688	Syracuse	35288:00:00	29	53	12	25	17	23	87	8	30	38	17	15	4	2	17	1
139823	3/21/10	434	Missouri	35288:00:00	20	61	7	21	12	20	59	17	21	38	13	7	6	8	23	768	West Virginia	35288:00:00	19	47	5	15	25	33	68	13	28	41	12	10	4	5	16	1
139821	3/21/10	167	Cornell	35288:00:00	33	54	8	15	13	16	87	9	20	29	14	8	8	1	14	796	Wisconsin	35288:00:00	24	49	8	25	13	17	69	8	13	21	13	10	6	1	16	1
139842	3/21/10	107	California	35288:00:00	19	48	3	12	12	16	53	9	24	33	6	11	3	1	18	193	Duke	35288:00:00	27	57	3	17	11	17	68	11	23	34	11	5	4	5	15	1
142608	3/21/10	416	Michigan St.	35288:00:00	32	58	10	17	11	14	85	13	29	42	18	19	3	5	19	392	Maryland	35288:00:00	29	66	9	19	16	20	83	10	14	24	20	6	8	0	14	1
145066	3/25/10	756	Washington	35288:00:00	22	56	3	11	9	14	56	11	18	29	11	21	14	8	20	768	West Virginia	35288:00:00	26	65	4	15	13	17	69	23	26	49	14	23	11	4	15	1
145067	3/25/10	167	Cornell	35288:00:00	16	48	5	21	8	13	45	7	21	28	8	15	6	3	22	334	Kentucky	35288:00:00	22	50	2	16	16	26	62	13	28	41	15	13	12	6	17	1
