game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
1944333	3/21/13	5	Akron	35288:00:00	15	43	1	13	11	19	42	9	20	29	5	22	2	6	12	740	VCU	35288:00:00	35	65	8	16	10	14	88	13	23	36	15	7	11		17	1
1944873	3/21/13	529	Oregon	35288:00:00	23	59	8	22	14	21	68	14	30	44	12	18	8	3	19	521	Oklahoma St.	35288:00:00	21	52	5	17	8	15	55	6	26	32	12	14	8	3	23	1
1942661	3/21/13	83	Bucknell	35288:00:00	23	62	5	16	5	8	56	9	28	37	13	9		4	20	87	Butler	35288:00:00	20	55	3	17	25	28	68	10	31	41	8	5	6	3	12	0
1943601	3/21/13	665	Southern U.	35288:00:00	18	46	10	23	12	18	58	3	24	27	10	10	4	8	12	260	Gonzaga	35288:00:00	23	55	8	20	10	15	64	11	29	40	14	10	6		16	1
1943113	3/21/13	610	St. Mary's (CA)	35288:00:00	19	58	3	15	11	14	52	15	24	39	9	13	4		19	404	Memphis	35288:00:00	20	49	5	15	9	18	54	10	25	35	12	15	9	12	18	1
1943174	3/21/13	173	Davidson	35288:00:00	19	46	6	17	14	22	58	7	22	29	12	11	2	4	17	387	Marquette	35288:00:00	20	58	4	15	15	19	59	17	24	41	5	9	5	4	20	1
1942765	3/21/13	472	New Mexico St.	35288:00:00	17	61	2	16	8	13	44	21	21	42	10	16	9	7	12	609	Saint Louis	35288:00:00	25	54	4	11	10	14	64	10	23	33	17	10	10	3	15	1
1944253	3/21/13	275	Harvard	35288:00:00	22	42	8	18	16	20	68	3	23	26	11	13	3	3	20	473	New Mexico	35288:00:00	21	56	3	14	17	24	62	16	18	34	8	11	12	1	17	1
1944273	3/21/13	649	South Dakota St.	35288:00:00	23	52	4	19	6	8	56	8	21	29	13	12	3		10	418	Michigan	35288:00:00	28	55	9	20	6	9	71	8	21	29	12	9	6	3	8	1
1944048	3/21/13	488	N.C. A&T;	35288:00:00	17	41	6	16	8	10	48	5	15	20	7	27	8		18	367	Louisville	35288:00:00	31	54	4	16	13	22	79	12	19	31	14	16	20	2	13	1
1944043	3/21/13	14927	Belmont	35288:00:00	20	51	8	27	16	23	64	4	14	18	7	8	7		20	29	Arizona	35288:00:00	29	51	9	17	14	20	81	12	32	44	13	16	2	5	21	1
1943636	3/21/13	735	Valparaiso	35288:00:00	19	54	7	25	9	14	54	8	15	23	10	7	12	5	12	416	Michigan St.	35288:00:00	26	58	6	15	7	11	65	20	29	49	16	17	6	3	16	1
1944235	3/21/13	434	Missouri	35288:00:00	24	57	7	23	17	19	72	3	16	19	13	5	6	3	24	156	Colorado St.	35288:00:00	25	51	7	14	27	33	84	12	30	42	10	14	1	3	17	1
1944238	3/21/13	107	California	35288:00:00	26	59	5	11	7	16	64	8	33	41	18	11	7	5	19	465	UNLV	35288:00:00	19	59	6	20	17	26	61	12	30	42	11	12	3	6	20	1
1944433	3/21/13	782	Wichita St.	35288:00:00	19	49	2	20	33	41	73	11	26	37	11	11	10	1	20	545	Pittsburgh	35288:00:00	19	54	1	17	16	20	55	11	21	32	8	15	5	5	27	1
1944353	3/21/13	441	Montana	35288:00:00	11	54	4	31	8	12	34	11	22	33	5	17	5	6	22	688	Syracuse	35288:00:00	27	52	5	11	22	31	81	8	32	40	21	8	12	5	8	1
1948200	3/22/13	690	Temple	35288:00:00	24	50	7	18	21	33	76	4	20	24	13	5	5	4	15	490	North Carolina St.	35288:00:00	29	52	4	13	10	16	72	7	27	34	14	13	3	2	24	1
1948853	3/22/13	772	Western Ky.	35288:00:00	21	66	3	20	12	18	57	18	23	41	8	10	9		24	328	Kansas	35288:00:00	20	42		6	24	30	64	4	31	35	11	17	4	9	15	1
1945974	3/22/13	433	Ole Miss	35288:00:00	22	57	3	15	10	16	57	12	31	43	8	10	6	6	12	796	Wisconsin	35288:00:00	15	59	7	30	9	13	46	15	25	40	10	11	7	7	16	1
1948873	3/22/13	428	Minnesota	35288:00:00	31	61	9	16	12	19	83	11	25	36	19	11	7	3	19	110	UCLA	35288:00:00	20	63	4	22	19	25	63	19	23	42	10	15	5	2	19	1
