game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
1492773	01/10/2013	Away	579	Robert Morris	200:00	33	59	13	24	9	14	88	12	25	37	22	9	11	3	11
1492773	01/10/2013	Home	222	Fairleigh Dickinson	200:00	19	47	9	24	7	11	54	6	17	23	14	17	5	1	12
1429172	12/05/2012	Away	153	Colgate	200:00	20	54	6	19	10	15	56	9	25	34	13	15	6	1	27
1429172	12/05/2012	Home	562	Quinnipiac	200:00	19	55	4	13	25	38	67	18	28	46	10	14	8	1	19
1469031	01/03/2013	Away	674	Stanford	200:00	23	59	9	19	14	23	69	14	22	36	13	13	3	2	18
1469031	01/03/2013	Home	657	Southern California	200:00	27	53	4	10	13	20	71	6	27	33	9	12	6	6	22
1897243	03/14/2013	Neutral	718	Tulane	200:00	24	63	5	19	15	17	68	14	22	36	10	15	6		12
1897243	03/14/2013	Neutral	404	Memphis	200:00	31	56	9	24	10	15	81	5	27	32	20	14	11	3	18
1518435	01/19/2013	Away	590	Sacred Heart	200:00	25	54	5	13	20	22	75	9	21	30	12	13	14	5	15
1518435	01/19/2013	Home	600	Saint Francis (PA)	200:00	24	58	6	19	18	21	72	14	21	35	13	18	4	2	16
1568512	02/04/2013	Away	489	N.C. Central	200:00	26	50	7	20	23	29	82	7	27	34	15	9	10	8	17
1568512	02/04/2013	Home	393	UMES	200:00	18	55	4	20	14	18	54	13	21	34	6	17	2	1	23
1788692	03/02/2013	Away	659	Southern Ill.	200:00	28	54	5	16	5	9	66	7	17	24	9	10	10		19
1788692	03/02/2013	Home	189	Drake	200:00	20	41	9	22	14	21	63	6	18	24	13	16	5	3	14
1510792	01/16/2013	Away	503	Northern Ill.	200:00	20	57	2	11	21	32	63	17	22	39	5	20	10		20
1510792	01/16/2013	Home	519	Ohio	200:00	27	53	11	25	16	22	81	6	26	32	25	15	12	4	22
1702353	02/23/2013	Away	786	William & Mary	200:00	18	48	11	28	11	20	58	11	28	39	9	13	2	5	16
1702353	02/23/2013	Home	248	George Mason	200:00	22	60	5	20	11	21	60	15	25	40	7	6	9	3	17
1452753	12/22/2012	Neutral	248	George Mason	200:00	26	52	8	13	7	13	67	10	21	31	14	17	12	3	20
1452753	12/22/2012	Neutral	575	Richmond	200:00	20	44	9	19	15	26	64	9	18	27	13	19	8	1	15
1452752	12/23/2012	Away	80	Brown	200:00	15	49	4	14	8	16	42	12	19	31	12	12	7	4	13
1452752	12/23/2012	Home	509	Northwestern	200:00	23	47	13	24	4	5	63	5	26	31	21	12	5	7	11
1498215	01/12/2013	Away	459	UNCG	200:00	20	56	6	20	13	22	59	13	22	35	6	15	10		28
1498215	01/12/2013	Home	769	Western Caro.	200:00	15	47	1	13	31	38	62	13	28	41	4	15	7	4	17
1493973	01/10/2013	Away	748	Wagner	200:00	29	49	9	10	19	31	86	10	27	37	17	15	5	3	20
1493973	01/10/2013	Home	361	LIU Brooklyn	200:00	24	55	10	27	17	25	75	10	14	24	12	14	7	4	19
1451225	12/21/2012	Away	229	Fla. Atlantic	200:00	19	56	3	15	11	18	52	12	16	28	7	16	7	6	23
1451225	12/21/2012	Home	306	Indiana	200:00	28	55	6	12	26	27	88	12	29	41	11	15	6	5	16
1451226	12/21/2012	Away	456	UNC Asheville	200:00	28	63	5	14	11	13	72	13	27	40	14	15	8	6	16
1451226	12/21/2012	Home	603	St. John's (NY)	200:00	25	57	5	14	10	14	65	7	23	30	11	13	5	13	16
