game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
3246924	3/20/14	472	New Mexico St.	35313:00:00	26	65	5	16	12	20	69	14	27	41	13	13	4	4	22	626	San Diego St.	35313:00:00	23	59	6	17	21	27	73	10	30	40	9	11	8	9	18	1
3246883	3/20/14	381	Manhattan	35288:00:00	23	51	3	5	15	21	64	7	24	31	11	15	8	5	27	367	Louisville	35288:00:00	20	55	4	13	27	35	71	16	26	42	10	12	11	8	18	1
3246744	3/20/14	14	Albany (NY)	35288:00:00	20	51	4	13	11	14	55	6	21	27	10	10	4	2	15	235	Florida	35288:00:00	25	49	3	12	14	18	67	5	25	30	11	10	7	5	14	1
3246985	3/20/14	545	Pittsburgh	35288:00:00	31	61	4	14	11	12	77	9	24	33	18	3	12	3	13	157	Colorado	35288:00:00	15	42	4	16	14	18	48	7	22	29	5	17	2		12	1
3246986	3/20/14	490	North Carolina St.	35313:00:00	28	60	4	9	20	37	80	10	33	43	10	12	7	5	20	609	Saint Louis	35313:00:00	31	64	9	18	12	26	83	9	32	41	16	9	7	4	26	1
3246517	3/20/14	175	Dayton	35288:00:00	22	49	3	13	13	17	60	4	24	28	12	13	10		14	518	Ohio St.	35288:00:00	24	50	3	12	8	12	59	3	25	28	12	14	10	4	16	1
3246552	3/20/14	23	American	35288:00:00	11	37	4	15	9	15	35	4	20	24	8	17	5		16	796	Wisconsin	35288:00:00	26	52	10	23	13	14	75	6	25	31	13	7	9	1	15	1
3246865	3/20/14	28	Arizona St.	35288:00:00	27	56	8	15	23	33	85	11	21	32	17	10	2	1	18	703	Texas	35288:00:00	31	58	5	12	20	27	87	10	20	30	17	9	6	5	24	1
3250703	3/20/14	493	North Dakota St.	35313:00:00	27	51	6	14	20	22	80	6	32	38	12	15	5	6	20	522	Oklahoma	35313:00:00	25	72	12	30	13	18	75	18	19	37	14	10	5	3	16	1
3246730	3/20/14	77	BYU	35288:00:00	20	61	5	19	23	30	68	12	20	32	14	9	4		25	529	Oregon	35288:00:00	27	54	2	13	31	38	87	8	29	37	21	8	4	4	22	1
3246831	3/20/14	2915	Wofford	35288:00:00	18	53	1	19	3	4	40	8	18	26	10	9	3		14	418	Michigan	35288:00:00	22	46	7	17	6	9	57	6	25	31	15	11	8	1	8	1
3246834	3/20/14	606	Saint Joseph's	35313:00:00	27	54	7	21	20	27	81	9	24	33	12	14	3	2	22	164	UConn	35313:00:00	30	66	11	24	18	20	89	12	22	34	13	9	6	2	21	1
3246857	3/20/14	797	Milwaukee	35288:00:00	18	63	6	24	11	15	53	13	24	37	13	12	4	2	14	739	Villanova	35288:00:00	28	62	4	23	13	16	73	12	34	46	13	11	8	10	17	1
3246798	3/20/14	180	Delaware	35288:00:00	20	55	8	20	30	39	78	7	17	24	7	8	4	1	19	416	Michigan St.	35288:00:00	30	56	10	19	23	25	93	10	32	42	16	14	4	2	27	1
3252385	3/20/14	275	Harvard	35288:00:00	19	44	6	17	17	28	61	9	24	33	9	12	4	3	15	140	Cincinnati	35288:00:00	21	57	4	12	11	16	57	16	18	34	5	11	6	6	20	1
3246617	3/20/14	774	Western Mich.	35288:00:00	17	49	4	18	15	20	53	8	17	25	12	13	4	1	16	688	Syracuse	35288:00:00	28	57	7	17	14	17	77	13	28	41	16	12	8	6	21	1
3248084	3/21/14	327	Kansas St.	35288:00:00	19	53	5	21	6	12	49	9	19	28	8	10	7	3	20	334	Kentucky	35288:00:00	19	50	4	15	14	21	56	13	27	40	8	15	4	7	11	1
3248135	3/21/14	671	La.-Lafayette	35288:00:00	25	66	4	16	12	17	66	13	23	36	8	4	3	5	18	169	Creighton	35288:00:00	28	54	9	23	11	21	76	6	30	36	18	6		3	17	1
3247847	3/21/14	90	Cal Poly	35288:00:00	12	58	5	28	8	18	37	13	21	34	5	6	7	1	17	782	Wichita St.	35288:00:00	23	50	6	19	12	21	64	11	35	46	17	12	4	6	17	1
3247861	3/21/14	556	Providence	35288:00:00	28	53	4	16	17	21	77	9	17	26	12	10	4	8	14	457	North Carolina	35288:00:00	33	71	4	15	9	13	79	21	19	40	15	9	7	4	19	1
3247474	3/21/14	758	Weber St.	35288:00:00	16	53	7	17	20	23	59	13	19	32	7	10	8	3	17	29	Arizona	35288:00:00	26	47	7	14	9	16	68	7	24	31	15	12	4	12	20	1
3247783	3/21/14	202	Eastern Ky.	35288:00:00	22	57	12	31	13	16	69	8	11	19	14	7	8	1	21	328	Kansas	35288:00:00	32	53		7	16	24	80	14	29	43	17	14	2	7	14	1
3247905	3/21/14	489	N.C. Central	35288:00:00	30	65	5	16	10	12	75	13	11	24	12	6	3	5	13	311	Iowa St.	35288:00:00	35	55	9	17	14	16	93	10	24	34	21	9	5	5	14	1
3247903	3/21/14	676	Stephen F. Austin	35313:00:00	27	51	6	16	17	23	77	10	25	35	16	17	6	2	16	740	VCU	35313:00:00	30	65	8	21	7	11	75	11	18	29	13	11	11	5	21	1
3247963	3/21/14	719	Tulsa	35288:00:00	21	57	7	19	10	14	59	12	21	33	14	16	2	2	18	110	UCLA	35288:00:00	29	63	5	16	13	15	76	13	23	36	17	10	11	5	13	1
3247762	3/21/14	249	George Washington	35288:00:00	25	56	2	12	14	24	66	16	17	33	8	10	9	2	16	404	Memphis	35288:00:00	27	55	6	22	11	16	71	15	21	36	19	12	8	4	20	0
3247943	3/21/14	149	Coastal Caro.	35288:00:00	21	50	9	19	8	14	59	5	23	28	13	8	5	2	19	746	Virginia	35288:00:00	21	40	8	17	20	25	70		28	28	16	7	4	5	16	1
3248189	3/21/14	674	Stanford	35288:00:00	19	49	8	15	12	17	58	5	30	35	10	10	6	5	20	473	New Mexico	35288:00:00	19	52	4	21	11	19	53	9	28	37	12	10	2	2	18	1
3248089	3/21/14	463	Nebraska	35288:00:00	23	54	4	21	10	16	60	5	20	25	7	11	9	7	31	51	Baylor	35288:00:00	17	42	2	13	38	48	74	9	28	37	9	12	7	2	16	1
