game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
3821368	3/19/15	500	Northeastern	35288:00:00	27	55	3	11	8	10	65	13	20	33	15	16	2		12	513	Notre Dame	35288:00:00	27	47	2	6	13	18	69	2	15	17	19	7	9	4	13	1
3821680	3/19/15	275	Harvard	35288:00:00	21	55	5	13	18	20	65	12	14	26	9	7	9	2	16	457	North Carolina	35288:00:00	27	49	5	7	8	13	67	12	23	35	14	17	2	2	18	1
3821515	3/19/15	699	Texas Southern	35288:00:00	24	51	5	12	19	30	72	8	11	19	5	9	5	3	19	29	Arizona	35288:00:00	32	53	5	11	24	27	93	12	23	35	13	12	8	3	23	1
3821724	3/19/15	2915	Wofford	35288:00:00	18	57	7	24	10	16	53	14	23	37	7	8	5	1	15	31	Arkansas	35288:00:00	22	48	3	8	9	16	56	8	27	35	13	10	4	3	16	1
3821704	3/19/15	433	Ole Miss	35288:00:00	24	73	6	27	3	5	57	17	22	39	16	8	7	4	21	812	Xavier	35288:00:00	26	56	10	23	14	21	76	11	33	44	17	10	6	4	14	1
3821571	3/19/15	518	Ohio St.	35313:00:00	28	57	6	15	13	22	75	8	24	32	16	11	5	7	17	740	VCU	35313:00:00	24	63	10	26	14	19	72	13	24	37	14	11	4	2	17	1
3821967	3/19/15	9	UAB	35288:00:00	24	69	3	18	9	11	60	19	33	52	9	13	7	5	10	311	Iowa St.	35288:00:00	24	65	6	23	5	7	59	9	28	37	12	11	9	9	15	1
3821749	3/19/15	365	LSU	35288:00:00	24	60	5	15	12	22	65	13	28	41	14	8	5	6	10	490	North Carolina St.	35288:00:00	28	66	5	24	5	7	66	11	28	39	11	11	2	2	15	1
3821751	3/19/15	559	Purdue	35313:00:00	26	72	4	26	9	15	65	21	30	51	13	12	5	1	18	140	Cincinnati	35313:00:00	25	61	4	10	12	21	66	11	27	38	9	9	8	5	16	1
3822105	3/19/15	676	Stephen F. Austin	35287:00:00	17	51	5	26	11	13	50	11	18	29	9	12	7	1	18	732	Utah	35288:00:00	18	38	5	13	16	21	57	4	22	26	11	17	7	7	12	1
3821787	3/19/15	254	Georgia St.	35288:00:00	22	54	5	16	8	13	57	9	13	22	12	6	13	2	13	51	Baylor	35288:00:00	19	43	7	19	11	13	56	12	28	40	14	21	2	1	13	1
3821638	3/19/15	110	UCLA	35288:00:00	20	47	10	20	10	14	60	7	27	34	10	18	4	5	17	663	SMU	35288:00:00	20	55	7	16	12	20	59	10	23	33	12	9	11	4	14	1
3821873	3/19/15	342	Lafayette	35288:00:00	21	55	4	18	6	7	52	10	15	25	15	15	2	1	11	739	Villanova	35288:00:00	36	57	11	22	10	15	93	8	25	33	22	8	8	6	10	1
3821714	3/19/15	207	Eastern Wash.	35288:00:00	26	64	9	28	13	15	74	10	18	28	6	9	3	2	21	251	Georgetown	35288:00:00	25	48	11	23	23	32	84	10	26	36	10	14	5	3	18	1
3821753	3/19/15	270	Hampton	35288:00:00	17	59	4	16	18	23	56	6	25	31	2	11	9	3	22	334	Kentucky	35288:00:00	28	61	3	10	20	28	79	13	38	51	15	13	7	5	18	1
3821475	3/19/15	703	Texas	35288:00:00	17	50	6	19	8	12	48	12	29	41	7	15	4	5	22	87	Butler	35288:00:00	16	48	4	13	20	28	56	5	23	28	11	5	5	4	13	1
3822457	3/20/15	14	Albany (NY)	35288:00:00	23	61	8	25	6	10	60	14	20	34	15	7	6	1	16	522	Oklahoma	35288:00:00	25	57	7	24	12	16	69	14	26	40	10	9	5	6	14	1
3822286	3/20/15	811	Wyoming	35288:00:00	21	46	9	22	3	9	54	4	18	22	14	12	2	3	17	504	UNI	35288:00:00	23	50	9	18	16	18	71	8	21	29	10	7	9	1	14	1
3828868	3/20/15	306	Indiana	35288:00:00	24	59	11	22	17	20	76	12	25	37	10	13	3	3	26	782	Wichita St.	35288:00:00	25	61	2	13	29	34	81	15	24	39	9	7	9	6	17	1
3822450	3/20/15	735	Valparaiso	35288:00:00	20	56	12	27	10	18	62	11	20	31	12	9	5	1	19	392	Maryland	35288:00:00	19	40	9	21	18	24	65	4	30	34	9	11	5	5	19	1
3822473	3/20/15	603	St. John's (NY)	35288:00:00	27	59	3	17	7	11	64	7	25	32	6	10	7	2	21	626	San Diego St.	35288:00:00	25	53	9	22	17	30	76	13	27	40	12	13	5	3	12	1
