game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
907830	3/15/12	99	Long Beach St.	35288:00:00	28	65	4	16	8	14	68	16	20	36	13	15	6	2	19	473	New Mexico	35288:00:00	25	50	7	21	18	24	75	7	24	31	19	14	6	7	16	1
915911	3/15/12	768	West Virginia	35288:00:00	16	49	3	17	19	28	54	12	19	31	10	10	2	3	17	260	Gonzaga	35288:00:00	28	50	9	17	12	16	77	6	25	31	15	10	9	2	25	1
908490	3/15/12	472	New Mexico St.	35288:00:00	27	49	4	12	8	10	66	7	16	23	7	17	5	6	13	306	Indiana	35288:00:00	32	54	7	13	8	10	79	7	14	21	15	12	12	0	12	1
907030	3/15/12	156	Colorado St.	35288:00:00	16	48	3	14	6	9	41	12	28	40	7	22	6	1	22	454	Murray St.	35288:00:00	20	51	5	17	13	26	58	10	22	32	9	8	9	5	8	1
908350	3/15/12	369	Loyola Maryland	35288:00:00	19	54	4	14	17	22	59	5	19	24	9	12	6	8	24	518	Ohio St.	35288:00:00	26	58	5	14	21	26	78	16	33	49	11	18	6	8	19	1
908210	3/15/12	649	South Dakota St.	35288:00:00	21	50	10	30	8	14	60	7	16	23	16	13	7	1	17	51	Baylor	35288:00:00	23	52	8	20	14	20	68	12	23	35	9	12	6	2	16	1
908211	3/15/12	772	Western Ky.	35288:00:00	25	63	6	15	10	16	66	10	20	30	10	10	6	2	19	334	Kentucky	35288:00:00	30	54	3	10	18	25	81	9	30	39	14	12	2	9	14	1
908271	3/15/12	164	UConn	35288:00:00	21	56	7	19	15	22	64	8	16	24	8	4	7	5	17	311	Iowa St.	35288:00:00	26	54	6	16	19	20	77	12	29	41	10	11	2	4	15	1
908190	3/15/12	275	Harvard	35288:00:00	25	56	9	24	11	14	70	8	17	25	14	10	4	0	21	736	Vanderbilt	35288:00:00	25	46	8	18	21	30	79	10	25	35	13	16	8	5	18	1
907472	3/15/12	77	BYU	35288:00:00	23	61	7	19	15	22	68	9	25	34	16	17	8	6	22	387	Marquette	35288:00:00	30	66	9	20	19	26	88	16	32	48	19	16	7	3	20	1
