game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
1367145	11/9/12	153	Colgate	200:00:00	20	51	7	23	8	11	55	4	28	32	13	17	5	5	15	301	Illinois	200:00:00	29	74	13	30	4	10	75	19	28	47	14	12	5	2	12	0
1343961	11/9/12	398	MIT	200:00:00	20	55	4	14	10	13	54	10	21	31	5	18	5	2	16	275	Harvard	200:00:00	26	56	6	15	11	18	69	12	25	37	17	9	9	10	15	0
1343960	11/9/12	270	Hampton	200:00:00	19	60	2	16	11	16	51	13	25	38	3	12	5	2	18	786	William & Mary	200:00:00	22	47	9	21	16	26	69	5	31	36	20	13	7	4	10	0
1343963	11/9/12	191	Drexel	225:00:00	22	60	7	23	11	16	62	16	28	44	12	16	2	2	24	331	Kent St.	225:00:00	20	57	6	22	20	31	66	16	26	42	9	12	4	6	20	0
1343962	11/9/12	600	Saint Francis (PA)	200:00:00	21	45	7	19	9	14	58	2	20	22	8	16	4	1	23	539	Penn St.	200:00:00	17	47	3	24	28	32	65	13	25	38	8	17	6	3	23	0
1372332	11/9/12	785	Willamette	200:00:00	15	68	5	20	12	16	47	16	13	29	9	14	10	1	26	732	Utah	200:00:00	37	59	8	18	22	32	104	16	39	55	21	19	6	8	15	0
1344575	11/9/12	0	San Diego Christian	200:00:00	20	65	8	25	10	14	58	11	17	28	11	16	7	5	20	627	San Diego	200:00:00	36	70	4	16	15	19	91	18	35	53	17	15	7	7	14	0
1344573	11/9/12	482	Niagara	200:00:00	29	76	16	34	9	20	83	15	22	37	18	12	13	3	21	528	Oregon St.	200:00:00	38	67	13	24	13	24	102	13	39	52	20	17	7	6	15	0
1344572	11/9/12	536	Tex.-Pan American	200:00:00	23	66	5	24	4	8	55	14	27	41	7	19	10	4	22	312	Iowa	200:00:00	31	69	7	16	17	25	86	18	31	49	18	13	13	10	12	0
1344812	11/9/12	0	Pacifica	200:00:00	15	65	5	23	14	27	49	14	23	37	7	25	9	1	23	370	Loyola Marymount	200:00:00	45	78	7	16	11	21	108	17	44	61	31	18	13	8	23	0
1345192	11/9/12	647	South Carolina St.	200:00:00	30	59	6	12	15	26	81	17	28	45	14	9	5	4	15	30058	Claflin	200:00:00	24	63	5	20	9	13	62	13	19	32	14	8	4	2	21	0
1344554	11/9/12	654	Southeast Mo. St.	200:00:00	18	62	4	16	15	20	55	12	25	37	6	12	8	2	20	328	Kansas	200:00:00	24	62	2	21	24	28	74	14	35	49	12	13	5	10	18	0
1344832	11/9/12	683	Stony Brook	200:00:00	20	56	6	20	14	19	60	11	29	40	10	16	6	5	17	386	Marist	200:00:00	23	64	7	21	4	7	57	14	28	42	14	14	7	3	19	0
1345175	11/9/12	695	UT Martin	200:00:00	21	51	5	15	21	24	68	4	28	32	11	16	3	1	27	32	UALR	200:00:00	28	61	6	17	22	30	84	11	28	39	16	14	9	4	19	0
1345176	11/9/12	104	UC Santa Barbara	200:00:00	19	51	5	19	20	29	63	15	26	41	7	23	6	4	19	365	LSU	200:00:00	30	67	10	26	7	20	77	18	22	40	15	13	16	4	20	0
1344138	11/9/12	83	Bucknell	200:00:00	24	57	2	10	20	25	70	9	27	36	12	8	3	1	15	559	Purdue	200:00:00	28	61	2	16	7	15	65	10	23	33	16	9	4	4	20	0
1345172	11/9/12	287	Houston Baptist	200:00:00	25	65	5	18	17	25	72	18	27	45	12	16	8		24	2678	Ark.-Pine Bluff	200:00:00	26	61	4	16	12	25	68	14	25	39	13	14	9	3	20	1
1344532	11/9/12	691	Tennessee St.	200:00:00	23	68	6	21	14	23	66	14	26	40	15	17	8	4	24	77	BYU	200:00:00	30	55	5	14	16	25	81	3	37	40	20	17	4	8	19	0
1344142	11/9/12	308	IPFW	200:00:00	15	52	4	20	16	23	50	10	25	35	10	17	10	2	18	37	Auburn	200:00:00	22	54	3	11	14	21	61	12	30	42	10	16	10	3	17	0
1367393	11/9/12	810	Wright St.	200:00:00	27	59	9	25	17	19	80	8	18	26	12	6	6		21	295	Idaho	200:00:00	23	43	5	16	19	29	70	6	26	32	10	13	3	2	18	0
1345032	11/9/12	165	Coppin St.	200:00:00	20	57	9	26	24	33	73	9	18	27	8	14	8		21	657	Southern California	200:00:00	29	61	8	21	21	28	87	16	28	44	15	17	4	7	26	0
1372352	11/9/12	28755	FGCU	200:00:00	20	44	4	13	13	21	57	8	21	29	13	25	8	4	15	740	VCU	200:00:00	32	73	8	30	8	14	80	22	21	43	22	14	20	3	20	0
1344512	11/9/12	2741	Howard Payne	200:00:00	15	46		6		1	30	4	23	27	3	29	6	5	19	676	Stephen F. Austin	200:00:00	32	69	10	24	10	17	84	16	28	44	22	11	19	5	8	0
1358035	11/9/12	497	North Texas	200:00:00	22	69	2	16	5	10	51	18	20	38	11	12	6	2	20	169	Creighton	200:00:00	24	48	5	18	18	22	71	7	32	39	14	13	4	6	12	0
1377232	11/9/12	422	Miles	200:00:00	18	51	2	9	10	15	48	10	27	37	10	25	5	3	25	6	Alabama A&M;	200:00:00	22	58	3	14	21	30	68	14	27	41	12	19	12	2	17	0
1345852	11/9/12	646	South Ala.	200:00:00	21	50	9	15	25	32	76	10	24	34	12	19	8	4	26	234	Florida St.	200:00:00	22	53	5	21	22	32	71	12	23	35	9	17	8	1	21	0
1344932	11/9/12	441	Montana	200:00:00	20	44	7	17	18	23	65	2	19	21	9	13	3	2	33	156	Colorado St.	200:00:00	20	53	1	8	31	41	72	19	25	44	7	9	5		20	0
1380752	11/9/12	485	Norfolk St.	200:00:00	25	56	5	13	12	18	67	13	27	40	9	13	4	6	25	572	Rhode Island	200:00:00	15	53	6	20	19	30	55	18	21	39	6	8	8	5	19	0
1345092	11/9/12	506	Northern Mich.	200:00:00	18	54	8	13	9	16	53	11	25	36	10	25	6	1	10	184	Detroit	200:00:00	34	70	11	31	9	14	88	11	29	40	19	13	16	7	13	0
1344329	11/9/12	2707	UMKC	200:00:00	15	48	3	15	3	15	36	7	21	28	6	20	9	1	18	635	Seton Hall	200:00:00	25	51	10	24	15	26	75	12	32	44	19	15	11	3	19	0
1344224	11/9/12	363	Longwood	200:00:00	17	57	2	15	11	19	47	13	14	27	9	18	7	2	22	388	Marshall	200:00:00	29	57	6	14	17	28	81	18	31	49	17	19	12	6	18	0
